{loss: 0.105, grad_norm: 0.6881, learning_rate: 8.95e-07, num_tokens: 1.217e+05, completions/mean_length: 8.031, completions/min_length: 4, completions/max_length: 48, completions/clipped_ratio: 0.03125, completions/mean_terminated_length: 6.742, completions/min_terminated_length: 4, completions/max_terminated_length: 10, rewards/kernel_reward/mean: 0.4688, rewards/kernel_reward/std: 0.507, reward: 0.4688, reward_std: 0.507, frac_reward_zero_std: 0.5, entropy: 0.2702, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 26.85, epoch: 0.1746}
{loss: 0.06699, grad_norm: 0.7722, learning_rate: 8.9e-07, num_tokens: 1.272e+05, completions/mean_length: 8.312, completions/min_length: 4, completions/max_length: 13, completions/clipped_ratio: 0, completions/mean_terminated_length: 8.312, completions/min_terminated_length: 4, completions/max_terminated_length: 13, rewards/kernel_reward/mean: 0.5625, rewards/kernel_reward/std: 0.504, reward: 0.5625, reward_std: 0.504, frac_reward_zero_std: 0.75, entropy: 0.09092, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 19.77, epoch: 0.1825}
{loss: 0, grad_norm: 0, learning_rate: 8.85e-07, num_tokens: 1.328e+05, completions/mean_length: 12.12, completions/min_length: 5, completions/max_length: 48, completions/clipped_ratio: 0.03125, completions/mean_terminated_length: 10.97, completions/min_terminated_length: 5, completions/max_terminated_length: 20, rewards/kernel_reward/mean: 0.5, rewards/kernel_reward/std: 0.508, reward: 0.5, reward_std: 0.508, frac_reward_zero_std: 1, entropy: 0.9881, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 27.28, epoch: 0.1905}
{loss: 0, grad_norm: 0, learning_rate: 8.8e-07, num_tokens: 1.384e+05, completions/mean_length: 10.06, completions/min_length: 5, completions/max_length: 48, completions/clipped_ratio: 0.03125, completions/mean_terminated_length: 8.839, completions/min_terminated_length: 5, completions/max_terminated_length: 17, rewards/kernel_reward/mean: 0.5, rewards/kernel_reward/std: 0.508, reward: 0.5, reward_std: 0.508, frac_reward_zero_std: 1, entropy: 0.2256, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 27.5, epoch: 0.1984}
{loss: 0, grad_norm: 0, learning_rate: 8.75e-07, num_tokens: 1.439e+05, completions/mean_length: 9.25, completions/min_length: 7, completions/max_length: 13, completions/clipped_ratio: 0, completions/mean_terminated_length: 9.25, completions/min_terminated_length: 7, completions/max_terminated_length: 13, rewards/kernel_reward/mean: 0.75, rewards/kernel_reward/std: 0.4399, reward: 0.75, reward_std: 0.4399, frac_reward_zero_std: 1, entropy: 0.01519, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 20.04, epoch: 0.2063}
{loss: 0, grad_norm: 0, learning_rate: 8.7e-07, num_tokens: 1.495e+05, completions/mean_length: 9.156, completions/min_length: 5, completions/max_length: 48, completions/clipped_ratio: 0.03125, completions/mean_terminated_length: 7.903, completions/min_terminated_length: 5, completions/max_terminated_length: 11, rewards/kernel_reward/mean: 0.25, rewards/kernel_reward/std: 0.4399, reward: 0.25, reward_std: 0.4399, frac_reward_zero_std: 1, entropy: 0.229, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 27.55, epoch: 0.2143}
{loss: 0, grad_norm: 0, learning_rate: 8.65e-07, num_tokens: 1.551e+05, completions/mean_length: 9.438, completions/min_length: 6, completions/max_length: 14, completions/clipped_ratio: 0, completions/mean_terminated_length: 9.438, completions/min_terminated_length: 6, completions/max_terminated_length: 14, rewards/kernel_reward/mean: 0.5, rewards/kernel_reward/std: 0.508, reward: 0.5, reward_std: 0.508, frac_reward_zero_std: 1, entropy: 0.1095, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 20.36, epoch: 0.2222}
{loss: 0, grad_norm: 0, learning_rate: 8.6e-07, num_tokens: 1.606e+05, completions/mean_length: 9.094, completions/min_length: 6, completions/max_length: 22, completions/clipped_ratio: 0, completions/mean_terminated_length: 9.094, completions/min_terminated_length: 6, completions/max_terminated_length: 22, rewards/kernel_reward/mean: 0.5, rewards/kernel_reward/std: 0.508, reward: 0.5, reward_std: 0.508, frac_reward_zero_std: 1, entropy: 0.06062, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 22.14, epoch: 0.2302}
{loss: 0, grad_norm: 0, learning_rate: 8.55e-07, num_tokens: 1.661e+05, completions/mean_length: 9.25, completions/min_length: 8, completions/max_length: 11, completions/clipped_ratio: 0, completions/mean_terminated_length: 9.25, completions/min_terminated_length: 8, completions/max_terminated_length: 11, rewards/kernel_reward/mean: 1, rewards/kernel_reward/std: 0, reward: 1, reward_std: 0, frac_reward_zero_std: 1, entropy: 0.01255, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 19.76, epoch: 0.2381}
{loss: 0, grad_norm: 0, learning_rate: 8.5e-07, num_tokens: 1.716e+05, completions/mean_length: 7.5, completions/min_length: 6, completions/max_length: 8, completions/clipped_ratio: 0, completions/mean_terminated_length: 7.5, completions/min_terminated_length: 6, completions/max_terminated_length: 8, rewards/kernel_reward/mean: 1, rewards/kernel_reward/std: 0, reward: 1, reward_std: 0, frac_reward_zero_std: 1, entropy: 0.00736, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 19, epoch: 0.246}
{loss: 0, grad_norm: 0, learning_rate: 8.45e-07, num_tokens: 1.771e+05, completions/mean_length: 8.562, completions/min_length: 7, completions/max_length: 13, completions/clipped_ratio: 0, completions/mean_terminated_length: 8.562, completions/min_terminated_length: 7, completions/max_terminated_length: 13, rewards/kernel_reward/mean: 0.75, rewards/kernel_reward/std: 0.4399, reward: 0.75, reward_std: 0.4399, frac_reward_zero_std: 1, entropy: 0.08325, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 20.09, epoch: 0.254}
{loss: 0, grad_norm: 0, learning_rate: 8.4e-07, num_tokens: 1.826e+05, completions/mean_length: 8.688, completions/min_length: 5, completions/max_length: 11, completions/clipped_ratio: 0, completions/mean_terminated_length: 8.688, completions/min_terminated_length: 5, completions/max_terminated_length: 11, rewards/kernel_reward/mean: 0.75, rewards/kernel_reward/std: 0.4399, reward: 0.75, reward_std: 0.4399, frac_reward_zero_std: 1, entropy: 0.03149, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 19.85, epoch: 0.2619}
{loss: 0, grad_norm: 0, learning_rate: 8.35e-07, num_tokens: 1.882e+05, completions/mean_length: 9, completions/min_length: 6, completions/max_length: 13, completions/clipped_ratio: 0, completions/mean_terminated_length: 9, completions/min_terminated_length: 6, completions/max_terminated_length: 13, rewards/kernel_reward/mean: 0.75, rewards/kernel_reward/std: 0.4399, reward: 0.75, reward_std: 0.4399, frac_reward_zero_std: 1, entropy: 0.04629, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 20.18, epoch: 0.2698}
{loss: 0, grad_norm: 0, learning_rate: 8.3e-07, num_tokens: 1.938e+05, completions/mean_length: 9.656, completions/min_length: 5, completions/max_length: 12, completions/clipped_ratio: 0, completions/mean_terminated_length: 9.656, completions/min_terminated_length: 5, completions/max_terminated_length: 12, rewards/kernel_reward/mean: 0.75, rewards/kernel_reward/std: 0.4399, reward: 0.75, reward_std: 0.4399, frac_reward_zero_std: 1, entropy: 0.07194, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 20.1, epoch: 0.2778}
{loss: 0.01018, grad_norm: 0.4305, learning_rate: 8.25e-07, num_tokens: 1.993e+05, completions/mean_length: 7.594, completions/min_length: 4, completions/max_length: 12, completions/clipped_ratio: 0, completions/mean_terminated_length: 7.594, completions/min_terminated_length: 4, completions/max_terminated_length: 12, rewards/kernel_reward/mean: 0.4375, rewards/kernel_reward/std: 0.504, reward: 0.4375, reward_std: 0.504, frac_reward_zero_std: 0.5, entropy: 0.09343, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 19.92, epoch: 0.2857}
{loss: 0.04054, grad_norm: 0.5346, learning_rate: 8.2e-07, num_tokens: 2.049e+05, completions/mean_length: 10.62, completions/min_length: 6, completions/max_length: 48, completions/clipped_ratio: 0.03125, completions/mean_terminated_length: 9.419, completions/min_terminated_length: 6, completions/max_terminated_length: 17, rewards/kernel_reward/mean: 0.2812, rewards/kernel_reward/std: 0.4568, reward: 0.2812, reward_std: 0.4568, frac_reward_zero_std: 0.75, entropy: 0.2615, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 27.77, epoch: 0.2937}
{loss: 0.008247, grad_norm: 0.2413, learning_rate: 8.15e-07, num_tokens: 2.104e+05, completions/mean_length: 9.375, completions/min_length: 6, completions/max_length: 13, completions/clipped_ratio: 0, completions/mean_terminated_length: 9.375, completions/min_terminated_length: 6, completions/max_terminated_length: 13, rewards/kernel_reward/mean: 0.7188, rewards/kernel_reward/std: 0.4568, reward: 0.7188, reward_std: 0.4568, frac_reward_zero_std: 0.75, entropy: 0.09681, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 20.14, epoch: 0.3016}
