  arms=['real', 'shuffled', 'same'] seeds=[0, 1, 2] steps=6000 ckpt_every=300 n_measure=16
  [seed 0] rules=13 corpus=1672 B heldout=74
  [real s1] step  1500 | CE 0.057 | acc 0.270 | rho_gw +0.007 | bimod 0.321 | effrank 22.9 | 63s
  [real s1] step  1800 | CE 0.053 | acc 0.284 | rho_gw +0.009 | bimod 0.296 | effrank 21.4 | 68s
  [real s1] step  2100 | CE 0.049 | acc 0.230 | rho_gw +0.006 | bimod 0.313 | effrank 27.8 | 72s
  [real s1] step  2400 | CE 0.050 | acc 0.243 | rho_gw -0.033 | bimod 0.346 | effrank 22.5 | 77s
  [real s1] step  2700 | CE 0.043 | acc 0.257 | rho_gw +0.027 | bimod 0.308 | effrank 20.2 | 81s
  [real s1] step  3000 | CE 0.049 | acc 0.257 | rho_gw -0.022 | bimod 0.322 | effrank 22.4 | 85s
  [real s1] step  3300 | CE 0.043 | acc 0.216 | rho_gw +0.033 | bimod 0.318 | effrank 24.0 | 89s
  [real s1] step  3600 | CE 0.045 | acc 0.257 | rho_gw +0.043 | bimod 0.312 | effrank 22.5 | 93s
  [real s1] step  3900 | CE 0.044 | acc 0.257 | rho_gw +0.046 | bimod 0.322 | effrank 25.5 | 98s
  [real s1] step  4200 | CE 0.040 | acc 0.216 | rho_gw +0.041 | bimod 0.318 | effrank 25.0 | 103s
  [real s1] step  4500 | CE 0.043 | acc 0.230 | rho_gw +0.054 | bimod 0.311 | effrank 25.1 | 107s
  [real s1] step  4800 | CE 0.043 | acc 0.284 | rho_gw +0.046 | bimod 0.315 | effrank 25.9 | 111s
  [real s1] step  5100 | CE 0.037 | acc 0.297 | rho_gw +0.057 | bimod 0.320 | effrank 26.2 | 116s
  [real s1] step  5400 | CE 0.044 | acc 0.243 | rho_gw +0.058 | bimod 0.316 | effrank 24.5 | 120s
  [real s1] step  5700 | CE 0.043 | acc 0.189 | rho_gw +0.013 | bimod 0.320 | effrank 20.8 | 125s
  [real s1] step  6000 | CE 0.041 | acc 0.257 | rho_gw +0.062 | bimod 0.313 | effrank 26.7 | 129s
  [shuffled s1] step     0 | CE nan | acc 0.000 | rho_gw +0.001 | bimod 0.494 | effrank 18.2 | 0s
  [shuffled s1] step   300 | CE 2.536 | acc 0.000 | rho_gw +0.013 | bimod 0.415 | effrank 12.7 | 4s
  [shuffled s1] step   600 | CE 2.524 | acc 0.000 | rho_gw +0.017 | bimod 0.424 | effrank 13.6 | 8s
  [shuffled s1] step   900 | CE 2.524 | acc 0.000 | rho_gw +0.019 | bimod 0.441 | effrank 13.7 | 11s
  [shuffled s1] step  1200 | CE 2.530 | acc 0.000 | rho_gw +0.020 | bimod 0.445 | effrank 12.2 | 15s
  [shuffled s1] step  1500 | CE 2.523 | acc 0.000 | rho_gw +0.022 | bimod 0.430 | effrank 11.1 | 18s
  [shuffled s1] step  1800 | CE 2.541 | acc 0.000 | rho_gw +0.024 | bimod 0.421 | effrank 11.7 | 22s
  [shuffled s1] step  2100 | CE 2.537 | acc 0.000 | rho_gw +0.025 | bimod 0.436 | effrank 9.1 | 25s
  [shuffled s1] step  2400 | CE 2.535 | acc 0.000 | rho_gw +0.027 | bimod 0.437 | effrank 12.6 | 29s
  [shuffled s1] step  2700 | CE 2.555 | acc 0.000 | rho_gw +0.028 | bimod 0.426 | effrank 9.9 | 32s
  [shuffled s1] step  3000 | CE 2.530 | acc 0.000 | rho_gw +0.029 | bimod 0.428 | effrank 10.5 | 36s
  [shuffled s1] step  3300 | CE 2.537 | acc 0.000 | rho_gw +0.031 | bimod 0.432 | effrank 13.1 | 40s
  [shuffled s1] step  3600 | CE 2.524 | acc 0.000 | rho_gw +0.032 | bimod 0.439 | effrank 12.1 | 43s
  [shuffled s1] step  3900 | CE 2.546 | acc 0.000 | rho_gw +0.034 | bimod 0.440 | effrank 12.1 | 47s
  [shuffled s1] step  4200 | CE 2.533 | acc 0.000 | rho_gw +0.034 | bimod 0.432 | effrank 12.5 | 50s
  [shuffled s1] step  4500 | CE 2.545 | acc 0.000 | rho_gw +0.035 | bimod 0.431 | effrank 12.0 | 54s
  [shuffled s1] step  4800 | CE 2.533 | acc 0.000 | rho_gw +0.036 | bimod 0.446 | effrank 12.1 | 57s
  [shuffled s1] step  5100 | CE 2.535 | acc 0.000 | rho_gw +0.037 | bimod 0.426 | effrank 14.0 | 61s
  [shuffled s1] step  5400 | CE 2.526 | acc 0.000 | rho_gw +0.038 | bimod 0.431 | effrank 12.1 | 64s
  [shuffled s1] step  5700 | CE 2.522 | acc 0.000 | rho_gw +0.039 | bimod 0.420 | effrank 12.4 | 68s
  [shuffled s1] step  6000 | CE 2.530 | acc 0.000 | rho_gw +0.041 | bimod 0.445 | effrank 16.1 | 72s
  [same s1] step     0 | CE nan | acc 0.000 | rho_gw +0.005 | bimod 0.393 | effrank 26.9 | 13s
  [same s1] step   300 | CE 0.041 | acc 0.014 | rho_gw +0.023 | bimod 0.336 | effrank 22.2 | 19s
  [same s1] step   600 | CE 0.013 | acc 0.014 | rho_gw +0.051 | bimod 0.425 | effrank 66.6 | 25s
  [same s1] step   900 | CE 0.011 | acc 0.014 | rho_gw -0.006 | bimod 0.326 | effrank 4.8 | 31s
  [same s1] step  1200 | CE 0.010 | acc 0.014 | rho_gw -0.007 | bimod 0.353 | effrank 5.5 | 37s
  [same s1] step  1500 | CE 0.010 | acc 0.027 | rho_gw -0.009 | bimod 0.356 | effrank 5.6 | 42s
  [same s1] step  1800 | CE 0.010 | acc 0.027 | rho_gw -0.002 | bimod 0.360 | effrank 6.4 | 47s
  [same s1] step  2100 | CE 0.010 | acc 0.027 | rho_gw -0.009 | bimod 0.370 | effrank 5.6 | 53s
  [same s1] step  2400 | CE 0.010 | acc 0.027 | rho_gw -0.001 | bimod 0.369 | effrank 5.2 | 58s
  [same s1] step  2700 | CE 0.010 | acc 0.027 | rho_gw -0.001 | bimod 0.380 | effrank 7.8 | 63s
  [same s1] step  3000 | CE 0.010 | acc 0.027 | rho_gw -0.001 | bimod 0.389 | effrank 6.5 | 69s
  [same s1] step  3300 | CE 0.010 | acc 0.027 | rho_gw +0.002 | bimod 0.131 | effrank 9.4 | 74s
  [same s1] step  3600 | CE 0.010 | acc 0.014 | rho_gw -0.005 | bimod 0.359 | effrank 5.6 | 80s
  [same s1] step  3900 | CE 0.010 | acc 0.014 | rho_gw +0.003 | bimod 0.366 | effrank 6.3 | 86s
  [same s1] step  4200 | CE 0.010 | acc 0.014 | rho_gw +0.009 | bimod 0.355 | effrank 5.4 | 93s
  [same s1] step  4500 | CE 0.010 | acc 0.014 | rho_gw +0.003 | bimod 0.370 | effrank 3.6 | 98s
  [same s1] step  4800 | CE 0.010 | acc 0.014 | rho_gw +0.009 | bimod 0.364 | effrank 5.5 | 103s
  [same s1] step  5100 | CE 0.010 | acc 0.014 | rho_gw +0.002 | bimod 0.385 | effrank 7.1 | 109s
  [same s1] step  5400 | CE 0.010 | acc 0.014 | rho_gw +0.010 | bimod 0.379 | effrank 6.7 | 114s
  [same s1] step  5700 | CE 0.010 | acc 0.014 | rho_gw +0.003 | bimod 0.378 | effrank 6.1 | 120s
  [same s1] step  6000 | CE 0.010 | acc 0.014 | rho_gw -0.001 | bimod 0.372 | effrank 6.0 | 125s
  [seed 2] rules=13 corpus=1672 B heldout=74
  [real s2] step     0 | CE nan | acc 0.000 | rho_gw +0.001 | bimod 0.407 | effrank 23.1 | 47s
  [real s2] step   300 | CE 1.250 | acc 0.014 | rho_gw +0.015 | bimod 0.365 | effrank 7.6 | 52s
  [real s2] step   600 | CE 0.708 | acc 0.027 | rho_gw +0.008 | bimod 0.338 | effrank 21.3 | 57s
  [real s2] step   900 | CE 0.268 | acc 0.176 | rho_gw -0.003 | bimod 0.344 | effrank 25.6 | 62s
  [real s2] step  1200 | CE 0.129 | acc 0.284 | rho_gw -0.019 | bimod 0.338 | effrank 21.5 | 66s
  [real s2] step  1500 | CE 0.062 | acc 0.270 | rho_gw -0.008 | bimod 0.335 | effrank 26.1 | 71s
  [real s2] step  1800 | CE 0.060 | acc 0.297 | rho_gw -0.024 | bimod 0.336 | effrank 21.5 | 75s
  [real s2] step  2100 | CE 0.055 | acc 0.297 | rho_gw +0.003 | bimod 0.332 | effrank 26.8 | 80s
  [real s2] step  2400 | CE 0.047 | acc 0.270 | rho_gw +0.013 | bimod 0.324 | effrank 25.9 | 84s
  [real s2] step  2700 | CE 0.053 | acc 0.284 | rho_gw -0.026 | bimod 0.346 | effrank 25.2 | 89s
  [real s2] step  3000 | CE 0.041 | acc 0.203 | rho_gw +0.026 | bimod 0.320 | effrank 23.1 | 93s
  [real s2] step  3300 | CE 0.047 | acc 0.243 | rho_gw +0.031 | bimod 0.320 | effrank 22.2 | 97s
  [real s2] step  3600 | CE 0.043 | acc 0.230 | rho_gw +0.044 | bimod 0.331 | effrank 24.7 | 102s
  [real s2] step  3900 | CE 0.041 | acc 0.230 | rho_gw +0.041 | bimod 0.328 | effrank 23.0 | 106s
  [real s2] step  4200 | CE 0.041 | acc 0.230 | rho_gw -0.011 | bimod 0.319 | effrank 29.5 | 111s
  [real s2] step  4500 | CE 0.044 | acc 0.216 | rho_gw +0.032 | bimod 0.321 | effrank 25.5 | 116s
  [real s2] step  4800 | CE 0.041 | acc 0.230 | rho_gw +0.055 | bimod 0.319 | effrank 25.1 | 120s
  [real s2] step  5100 | CE 0.041 | acc 0.257 | rho_gw +0.017 | bimod 0.311 | effrank 21.8 | 124s
  [real s2] step  5400 | CE 0.041 | acc 0.230 | rho_gw +0.062 | bimod 0.337 | effrank 24.3 | 129s
  [real s2] step  5700 | CE 0.039 | acc 0.270 | rho_gw +0.062 | bimod 0.332 | effrank 23.3 | 134s
  [real s2] step  6000 | CE 0.041 | acc 0.216 | rho_gw +0.070 | bimod 0.333 | effrank 24.5 | 138s
  [shuffled s2] step     0 | CE nan | acc 0.000 | rho_gw -0.003 | bimod 0.489 | effrank 16.7 | 0s
