  arms=['real', 'shuffled', 'same'] seeds=[0, 1, 2] steps=6000 ckpt_every=300 n_measure=16
  [seed 0] rules=13 corpus=1672 B heldout=74
  [same s1] step  3900 | CE 0.010 | acc 0.000 | rho_gw -0.003 | bimod 0.361 | effrank 5.1 | 95s
  [same s1] step  4200 | CE 0.010 | acc 0.000 | rho_gw -0.002 | bimod 0.387 | effrank 5.9 | 100s
  [same s1] step  4500 | CE 0.010 | acc 0.000 | rho_gw +0.005 | bimod 0.384 | effrank 7.0 | 107s
  [same s1] step  4800 | CE 0.010 | acc 0.000 | rho_gw +0.005 | bimod 0.371 | effrank 6.9 | 113s
  [same s1] step  5100 | CE 0.010 | acc 0.000 | rho_gw -0.003 | bimod 0.372 | effrank 6.0 | 119s
  [same s1] step  5400 | CE 0.010 | acc 0.000 | rho_gw +0.004 | bimod 0.367 | effrank 6.3 | 125s
  [same s1] step  5700 | CE 0.010 | acc 0.000 | rho_gw +0.011 | bimod 0.373 | effrank 6.2 | 131s
  [same s1] step  6000 | CE 0.010 | acc 0.000 | rho_gw +0.008 | bimod 0.367 | effrank 5.5 | 136s
  [seed 2] rules=13 corpus=1672 B heldout=74
  [real s2] step     0 | CE nan | acc 0.000 | rho_gw +0.001 | bimod 0.407 | effrank 23.1 | 52s
  [real s2] step   300 | CE 1.240 | acc 0.014 | rho_gw +0.017 | bimod 0.350 | effrank 9.6 | 57s
  [real s2] step   600 | CE 0.693 | acc 0.027 | rho_gw +0.006 | bimod 0.366 | effrank 12.1 | 63s
  [real s2] step   900 | CE 0.274 | acc 0.149 | rho_gw -0.004 | bimod 0.341 | effrank 25.0 | 68s
  [real s2] step  1200 | CE 0.128 | acc 0.257 | rho_gw -0.013 | bimod 0.346 | effrank 21.9 | 73s
  [real s2] step  1500 | CE 0.063 | acc 0.257 | rho_gw -0.008 | bimod 0.334 | effrank 24.9 | 78s
  [real s2] step  1800 | CE 0.060 | acc 0.284 | rho_gw +0.004 | bimod 0.328 | effrank 25.8 | 82s
  [real s2] step  2100 | CE 0.061 | acc 0.230 | rho_gw -0.015 | bimod 0.341 | effrank 23.0 | 87s
  [real s2] step  2400 | CE 0.048 | acc 0.243 | rho_gw +0.016 | bimod 0.330 | effrank 24.8 | 92s
  [real s2] step  2700 | CE 0.048 | acc 0.216 | rho_gw +0.019 | bimod 0.324 | effrank 24.7 | 97s
  [real s2] step  3000 | CE 0.043 | acc 0.243 | rho_gw +0.006 | bimod 0.332 | effrank 25.9 | 102s
  [real s2] step  3300 | CE 0.047 | acc 0.230 | rho_gw +0.030 | bimod 0.317 | effrank 19.0 | 106s
